returned_keyword,close_variants,matched_submitted_keywords,matched_formats,average_monthly_searches,competition,competition_index,average_cpc_gbp,low_top_of_page_gbp,high_top_of_page_gbp,monthly_search_volumes,geography,geo_criterion,language,language_criterion,network,observed_at,interpretation
electronics courses near me,,electronics courses near me,Technical and maker hobbies: Electronics workshops,170,MEDIUM,61,2.4023,0.5085,2.5684,2025-august:170|2025-september:140|2025-october:140|2025-november:170|2025-december:140|2026-january:170|2026-february:170|2026-march:210|2026-april:110|2026-may:260|2026-june:110|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
group dog walks near me,,group dog walks near me,Nature and animals: Dog-walking groups,170,LOW,4,0.0000,0.0000,0.0000,2025-august:170|2025-september:170|2025-october:170|2025-november:140|2025-december:110|2026-january:210|2026-february:210|2026-march:170|2026-april:140|2026-may:140|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
leather workshop near me,,leather workshop near me,Craft and making: Leatherworking,170,HIGH,73,0.5569,0.2082,1.2036,2025-august:170|2025-september:170|2025-october:170|2025-november:210|2025-december:170|2026-january:140|2026-february:140|2026-march:170|2026-april:140|2026-may:140|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mushroom foraging course,,mushroom foraging course,Nature and animals: Mushroom foraging,170,HIGH,100,0.5835,0.1446,0.5757,2025-august:170|2025-september:390|2025-october:480|2025-november:260|2025-december:170|2026-january:110|2026-february:50|2026-march:50|2026-april:50|2026-may:50|2026-june:50|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
poetry class near me,,poetry class near me,"Ideas, books and learning: Poetry workshops",170,LOW,33,1.2937,0.4328,1.3878,2025-august:260|2025-september:210|2025-october:210|2025-november:170|2025-december:140|2026-january:260|2026-february:170|2026-march:140|2026-april:140|2026-may:140|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
poetry workshops near me,,poetry workshops near me,"Ideas, books and learning: Poetry workshops",170,LOW,33,1.2937,0.4328,1.3878,2025-august:260|2025-september:210|2025-october:210|2025-november:170|2025-december:140|2026-january:260|2026-february:170|2026-march:140|2026-april:140|2026-may:140|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
poker nights near me,,poker nights near me,Tabletop and games: Poker nights,170,LOW,6,0.0000,2.3695,5.9598,2025-august:210|2025-september:260|2025-october:210|2025-november:210|2025-december:140|2026-january:210|2026-february:210|2026-march:170|2026-april:170|2026-may:140|2026-june:110|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
quilting groups near me,,quilting groups near me,Craft and making: Quilting groups,170,LOW,4,3.8479,3.9079,5.7994,2025-august:210|2025-september:170|2025-october:210|2025-november:140|2025-december:110|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:110|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
resin workshop near me,,resin workshop near me,Craft and making: Resin art,170,HIGH,98,2.7210,0.8522,3.4740,2025-august:140|2025-september:140|2025-october:170|2025-november:170|2025-december:170|2026-january:260|2026-february:260|2026-march:210|2026-april:170|2026-may:170|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
theatre tickets near me,,theatre tickets near me,Live culture: Theatre,170,HIGH,94,1.3280,0.2298,1.3951,2025-august:140|2025-september:140|2025-october:170|2025-november:260|2025-december:390|2026-january:170|2026-february:170|2026-march:210|2026-april:110|2026-may:90|2026-june:110|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
vegan cooking classes near me,,vegan cooking classes near me,Food and drink: Vegan cooking,170,HIGH,100,1.0023,0.2365,1.2327,2025-august:260|2025-september:210|2025-october:210|2025-november:260|2025-december:260|2026-january:170|2026-february:110|2026-march:170|2026-april:110|2026-may:140|2026-june:110|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wine tasting events near me,,wine tasting events near me,Food and drink: Wine tasting,170,HIGH,100,0.6651,0.5909,0.9889,2025-august:140|2025-september:170|2025-october:170|2025-november:170|2025-december:170|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:110|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
airsoft events near me,,airsoft events near me,Competitive experiences: Airsoft,140,LOW,7,0.5686,0.2365,0.5556,2025-august:170|2025-september:110|2025-october:140|2025-november:110|2025-december:110|2026-january:110|2026-february:110|2026-march:140|2026-april:140|2026-may:140|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
gardening workshops near me,,gardening workshops near me,Nature and animals: Gardening workshops,140,HIGH,86,1.7402,0.5097,1.9221,2025-august:210|2025-september:140|2025-october:110|2025-november:90|2025-december:140|2026-january:170|2026-february:170|2026-march:210|2026-april:170|2026-may:170|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
lino printing course near me,,lino printing course near me,Craft and making: Lino printing,140,HIGH,94,0.3660,0.1738,0.7456,2025-august:140|2025-september:90|2025-october:110|2025-november:140|2025-december:140|2026-january:210|2026-february:140|2026-march:170|2026-april:140|2026-may:140|2026-june:90|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
lino printing workshop near me,,lino printing workshop near me,Craft and making: Lino printing,140,HIGH,79,1.6195,0.1638,0.8796,2025-august:140|2025-september:140|2025-october:140|2025-november:110|2025-december:140|2026-january:210|2026-february:140|2026-march:170|2026-april:110|2026-may:90|2026-june:110|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mahjong near me,,mahjong near me,Tabletop and games: Mahjong,140,LOW,3,0.0000,0.0000,0.0000,2025-august:110|2025-september:110|2025-october:140|2025-november:110|2025-december:140|2026-january:170|2026-february:170|2026-march:210|2026-april:170|2026-may:210|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
mens retreats uk,,mens retreats uk,"Wellness, spa and retreats: Men's retreats",140,LOW,20,1.0583,0.0736,1.1200,2025-august:210|2025-september:170|2025-october:170|2025-november:110|2025-december:110|2026-january:140|2026-february:110|2026-march:140|2026-april:110|2026-may:110|2026-june:110|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
poker club near me,,poker club near me,Tabletop and games: Poker nights,140,LOW,13,1.0550,0.8188,3.6820,2025-august:140|2025-september:260|2025-october:170|2025-november:140|2025-december:170|2026-january:170|2026-february:210|2026-march:140|2026-april:140|2026-may:90|2026-june:110|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
printmaking workshops near me,,printmaking workshops near me,Craft and making: Printmaking,140,MEDIUM,64,0.8412,0.4228,1.3165,2025-august:170|2025-september:140|2025-october:140|2025-november:140|2025-december:140|2026-january:210|2026-february:140|2026-march:140|2026-april:110|2026-may:110|2026-june:110|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
resin art classes near me,,resin art classes near me,Craft and making: Resin art,140,HIGH,100,1.3221,0.3225,1.7055,2025-august:170|2025-september:210|2025-october:140|2025-november:170|2025-december:110|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:110|2026-june:70|2026-july:70,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
screen printing course near me,,screen printing course near me,Craft and making: Screen printing,140,HIGH,89,0.9272,0.2980,1.2631,2025-august:140|2025-september:140|2025-october:140|2025-november:140|2025-december:140|2026-january:170|2026-february:140|2026-march:140|2026-april:110|2026-may:140|2026-june:140|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
sculpture classes near me,,sculpture classes near me,Craft and making: Sculpture,140,HIGH,69,1.5551,0.3468,1.9948,2025-august:170|2025-september:210|2025-october:140|2025-november:210|2025-december:140|2026-january:140|2026-february:140|2026-march:170|2026-april:110|2026-may:110|2026-june:110|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
tea tasting experience,,tea tasting experience,Food and drink: Tea tasting,140,HIGH,100,0.6437,0.3214,0.8341,2025-august:70|2025-september:70|2025-october:110|2025-november:170|2025-december:210|2026-january:170|2026-february:170|2026-march:170|2026-april:140|2026-may:140|2026-june:110|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
video game bar near me,,video game bar near me,Tabletop and games: Video-game bars,140,LOW,28,0.2248,0.0000,0.0000,2025-august:170|2025-september:110|2025-october:170|2025-november:140|2025-december:110|2026-january:170|2026-february:140|2026-march:110|2026-april:140|2026-may:140|2026-june:140|2026-july:140,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
walking tours near me,,walking tours near me,"Ideas, books and learning: Guided walking tours",140,MEDIUM,62,0.6135,0.2940,0.8693,2025-august:210|2025-september:170|2025-october:140|2025-november:110|2025-december:110|2026-january:110|2026-february:140|2026-march:170|2026-april:170|2026-may:170|2026-june:170|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
wild swimming groups near me,,wild swimming groups near me,Outdoor and endurance: Open-water swimming,140,LOW,3,2.2989,1.4828,2.3354,2025-august:210|2025-september:170|2025-october:140|2025-november:110|2025-december:90|2026-january:140|2026-february:110|2026-march:140|2026-april:140|2026-may:140|2026-june:170|2026-july:170,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
bird watching groups near me,,bird watching groups near me,Nature and animals: Birdwatching groups,110,LOW,3,6.7150,0.0000,0.0000,2025-august:70|2025-september:110|2025-october:110|2025-november:90|2025-december:70|2026-january:140|2026-february:110|2026-march:140|2026-april:140|2026-may:170|2026-june:110|2026-july:110,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
calligraphy workshop near me,,calligraphy workshop near me,Craft and making: Calligraphy,110,MEDIUM,50,1.8121,0.2120,1.4828,2025-august:90|2025-september:210|2025-october:110|2025-november:170|2025-december:140|2026-january:260|2026-february:110|2026-march:110|2026-april:90|2026-may:90|2026-june:90|2026-july:90,United Kingdom,2826,English,1000,Google Search,2026-09-03,Rounded historical demand signal; not obtainable traffic or market size
